adp,player,position,posabbr,onepos
1,Jack Steele,Midfielder,MID,MID
2,Touk Miller,Midfielder,MID,MID
3,Jack Macrae,Midfielder,MID,MID
4,Tom Mitchell,Midfielder,MID,MID
5,Brodie Grundy,Ruck,RUC,RUC
6,Max Gawn,Ruck,RUC,RUC
7,Jarryd Lyons,Midfielder,MID,MID
8,Clayton Oliver,Midfielder,MID,MID
9,Christian Petracca,Midfielder,MID,MID
10,Zach Merrett,Midfielder,MID,MID
11,Tim Taranto,Midfielder/Forward,MID/FWD,FWD
12,Ollie Wines,Midfielder,MID,MID
13,Rory Laird,Midfielder,MID,MID
14,Jack Crisp,Defender/Midfielder,DEF/MID,DEF
15,Sam Walsh,Midfielder,MID,MID
16,Lachie Whitfield,Defender/Midfielder,DEF/MID,DEF
17,Jake Lloyd,Defender,DEF,DEF
18,Mitch Duncan,Midfielder/Forward,MID/FWD,FWD
19,Callum Mills,Midfielder,MID,MID
20,Aaron Hall,Defender,DEF,DEF
21,Marcus Bontempelli,Midfielder,MID,MID
22,Lachie Neale,Midfielder,MID,MID
23,Sean Darcy,Ruck,RUC,RUC
24,Josh Dunkley,Midfielder/Forward,MID/FWD,FWD
25,Cameron Guthrie,Midfielder,MID,MID
26,Andrew Brayshaw,Midfielder,MID,MID
27,Josh Kelly,Midfielder,MID,MID
28,Darcy Parish,Midfielder,MID,MID
29,Adam Treloar,Midfielder/Forward,MID/FWD,FWD
30,Ben Keays,Midfielder,MID,MID
31,Tom Stewart,Defender,DEF,DEF
32,Rowan Marshall,Ruck,RUC,RUC
33,Daniel Rich,Defender,DEF,DEF
34,Jayden Short,Defender,DEF,DEF
35,Dayne Zorko,Midfielder,MID,MID
36,Dustin Martin,Midfielder/Forward,MID/FWD,FWD
37,Reilly O'Brien,Ruck,RUC,RUC
38,Matt Crouch,Midfielder,MID,MID
39,Hugh McCluggage,Midfielder,MID,MID
40,Taylor Adams,Midfielder,MID,MID
41,Jack Ziebell,Defender,DEF,DEF
42,Stephen Coniglio,Midfielder/Forward,MID/FWD,FWD
43,Christian Salem,Defender,DEF,DEF
44,Dyson Heppell,Defender,DEF,DEF
45,Sam Docherty,Defender,DEF,DEF
46,Jordan De Goey,Midfielder/Forward,MID/FWD,FWD
47,Andrew Gaff,Midfielder,MID,MID
48,Jordan Dawson,Defender,DEF,DEF
